Class,Confidence,Bounding Box,Center Simulation XYZ,Corner 1 Simulation XYZ,Corner 2 Simulation XYZ,Corner 3 Simulation XYZ,Corner 4 Simulation XYZ
5ML_sorting_tube_rack,0.8708840012550354,"[572.0, 267.0, 646.0, 389.0]",[     77.838      -787.4     -1165.5],,[     26.801     -983.09       -1261],[        139     -743.54     -1281.6],[     18.057     -733.63     -1256.6]
centrifuge_close,0.8502047657966614,"[839.0, 25.0, 1007.0, 185.0]",[     -443.3     -1226.9     -1095.6],[    -591.02     -2696.1     -2060.7],,[    -329.55     -1202.8     -1274.1],[    -463.15     -870.33     -911.84]
10ML_centrifuge_tube,0.8056758046150208,"[754.0, 560.0, 772.0, 577.0]",[    -149.17     -415.68     -1175.9],[    -137.35     -426.07     -1175.1],[    -164.96     -436.01       -1200],[    -136.86     -403.06     -1176.5],[    -162.67     -408.57       -1190]
refrigerator_close,0.7684102058410645,"[646.0, 0.0, 793.0, 168.0]",[    -85.107     -1188.4     -1029.4],,[     -97.34     -630.76      -459.4],[     35.103     -1219.3     -1261.9],[    -244.38     -1239.8     -1270.9]
10ML_centrifuge_tube,0.7211433053016663,"[845.0, 484.0, 864.0, 501.0]",[    -249.81     -472.74     -1047.4],[    -239.29     -482.94     -1046.8],[    -262.19     -482.07     -1042.9],[    -238.52        -462     -1051.6],[    -261.97     -462.42     -1050.5]
blood_tube,0.5203728079795837,"[831.0, 528.0, 849.0, 547.0]",[    -224.49     -406.91     -1032.7],[    -219.64     -427.89     -1057.3],[    -240.09      -425.6     -1049.6],[    -218.65     -404.76     -1061.1],[    -238.27     -401.51     -1050.5]
10ML_sorting_tube_rack,0.441715806722641,"[252.0, 407.0, 379.0, 578.0]",[     473.09     -502.27     -1176.2],[     1047.3       -1113     -2066.8],[     439.79     -687.63     -1262.6],[     549.59     -392.08     -1223.9],[     390.49     -415.05     -1274.4]
blood_tube,0.42354583740234375,"[736.0, 518.0, 751.0, 535.0]",[    -121.67     -466.53     -1156.7],[    -113.51     -482.33     -1167.9],[    -134.58     -484.98     -1172.5],[    -113.37     -458.88     -1170.8],[    -132.86     -456.61     -1163.1]
10ML_sorting_tube_rack,0.3572383522987366,"[303.0, 247.0, 402.0, 411.0]",[     472.51     -767.82     -1162.5],[     1031.5     -1630.8     -2050.1],[     461.15     -1012.3     -1263.5],[     521.54     -631.45     -1179.7],[     403.71     -684.48     -1267.4]
5ML_sorting_tube_rack,0.2921225428581238,"[332.0, 0.0, 554.0, 174.0]",[     410.92     -1296.7       -1149],,[     425.25     -2878.6     -2127.4],[     982.84     -1864.3     -1994.6],[     207.71     -1200.2     -1265.4]
dispensing_tube_rack,0.27313122153282166,"[702.0, 500.0, 844.0, 618.0]",[    -167.75     -441.08     -1209.8],[    -72.588     -549.97     -1266.6],[    -237.23     -463.02     -1050.9],[    -72.817     -371.12     -1262.7],[    -269.93     -377.13     -1258.4]
